Date,Original,Trend,Seasonal,Residual
2010-02-05,24924.5,22940.621309089496,1.0229275075777533,1.0621269328796918
2010-02-12,46039.49,22935.92542726194,1.7643403654170056,1.137710761305442
2010-02-19,41595.55,22931.229545434388,2.0795144177023537,0.8722833718329467
2010-02-26,19403.54,22926.53366360683,0.8590999494064554,0.9851421010384421
2010-03-05,21827.9,22921.837781779275,0.9082926717263964,1.0484234122056892
2010-03-12,21043.39,22917.14189995172,0.9257698044101677,0.9918642538254869
2010-03-19,22136.64,22912.446018124167,0.9456496308243385,1.0216684688936164
2010-03-26,26229.21,22907.75013629661,1.0094011945770314,1.1343287991960858
2010-04-02,57258.43,22903.054254469054,1.5537449226988875,1.6090380391449537
2010-04-09,42960.91,22898.3583726415,1.8119076986673033,1.0354593491531467
2010-04-16,17596.96,22893.662490813946,1.1833504431837567,0.6495446246821792
2010-04-23,16145.35,22888.96660898639,1.2285890394201124,0.5741358185406609
2010-04-30,16555.11,22884.270727158833,1.0951390892698953,0.6605804448158253
2010-05-07,17413.94,22879.57484533128,0.8020351962591704,0.948976956029353
2010-05-14,18926.74,22874.878963503725,0.7951212902322398,1.0405995388053966
2010-05-21,14773.04,22870.18308167617,0.708589388734573,0.9116026690784738
2010-05-28,15580.43,22865.487199848612,0.706609454532164,0.9643163626623632
2010-06-04,17558.09,22860.79131802106,0.7321857306587171,1.0489740649895123
2010-06-11,16637.62,22856.095436193504,0.7332609703339193,0.9927287303766226
2010-06-18,16216.27,22851.399554365948,0.7118753775371078,0.9968600485546482
2010-06-25,16328.72,22846.703672538395,0.7112945439500462,1.0047988184698755
2010-07-02,16333.14,22842.00779071084,0.6938951515238072,1.0304847198348337
2010-07-09,17688.76,22837.311908883283,0.7551764122026378,1.0256613484121737
2010-07-16,17150.84,22832.616027055727,0.721774663315572,1.0407060741499887
2010-07-23,15360.45,22827.920145228174,0.6940046674777953,0.9695611453152281
2010-07-30,15381.82,22823.224263400618,0.6875751809768857,0.9801906046129315
2010-08-06,17508.41,22958.96057692308,0.7205592679235794,1.05833894394058
2010-08-13,15536.4,22849.23884615385,0.6742881519187899,1.0084006756024628
2010-08-20,15740.13,22821.335000000006,0.6965294776687267,0.9902110489849726
2010-08-27,15793.87,22871.43701923077,0.6786972689436331,1.0174638902353401
2010-09-03,16241.78,22856.62932692308,0.7017811248548366,1.0125576404198777
